ID;Fichier
20250327;TestDistanceUnits.java
20250328;SinusoidalProjectorTest.java
20250329;TestAssertions.java
20250330;TestCharTermAttributeImpl.java
20250331;QueryNode.java
20250332;TestIndexSorter.java
20250333;FreqProxTermsWriterPerField.java
20250334;PersianCharFilter.java
20250335;PayloadNearQuery.java
20250336;TestDoubleBarrelLRUCache.java
20250337;TermVectorsTermsWriterPerField.java
20250338;FilterManager.java
20250339;TotalHitCountCollector.java
20250340;LongToEnglishQueryMaker.java
20250341;FilteringTokenFilter.java
20250342;StopFilter.java
20250343;SpanNearPayloadCheckQuery.java
20250344;GenerateJflexTLDMacros.java
20250345;SpanPositionCheckQuery.java
20250346;SpanPositionRangeQuery.java
20250349;SpanPayloadCheckQuery.java
20250350;ReadOnlyDirectoryReader.java
20250351;NearRealtimeReaderTask.java
20250352;TopTermsRewrite.java
20250353;PayloadProcessorProvider.java
20250354;MultiCollector.java
20250355;SimpleFSLockFactory.java
20250356;IndexNotFoundException.java
20250357;NoMergeScheduler.java
20250358;NativeFSLockFactory.java
20250359;SetOnce.java
20250360;AbstractField.java
20250361;DoubleBarrelLRUCache.java
20250362;FSLockFactory.java
20250363;LengthFilter.java
20250364;CzechAnalyzer.java
20250365;DutchAnalyzer.java
20250366;CJKAnalyzer.java
20250367;KeywordMarkerFilter.java
20250368;TestBooleanScorer.java
20250369;TestPhrasePrefixQuery.java
20250370;ChainedFilterTest.java
20250371;TestSpanFirstQuery.java
20250372;TestPositionIncrement.java
20250373;TestConstantScoreQuery.java
20250374;TestBooleanOr.java
20250375;TestDocument.java
20250376;TestPrefixQuery.java
20250377;TestQueryWrapperFilter.java
20250378;TestTopDocsCollector.java
20250379;PayloadHelper.java
20250380;TestPrefixFilter.java
20250381;TestDateFilter.java
20250382;TestDocIdSet.java
20250383;TestTopScoreDocCollector.java
20250384;TestFieldCacheTermsFilter.java
20250385;TestRegexQuery.java
20250386;TestPayloadSpans.java
20250387;TestComplexExplanations.java
20250388;TestTermRangeFilter.java
20250389;TestPositiveScoresOnlyCollector.java
20250390;TrecGov2Parser.java
20250391;HTMLParser.java
20250392;StringBuilderReader.java
20250393;GeoHashUtils.java
20250394;SynonymMap.java
20250395;LuceneJUnitResultFormatter.java
20250396;MockIndexInput.java
20250398;_TestHelper.java
20250399;LuceneJUnitDividingSelector.java
20250400;DefaultICUTokenizerConfig.java
20250401;ClassicTokenizerImpl.java
20250402;UAX29URLEmailTokenizer.java
20250403;StandardTokenizerImpl.java
20250404;StandardTokenizer.java
20250405;NumericRangeQuery.java
20250406;NumericRangeFilter.java
20250407;NumericTokenStream.java
20250408;ShingleMatrixFilter.java
20250409;TestShingleMatrixFilter.java
20250410;Tags.java
20250411;SimpleCharStream.java
20250412;TestHtmlParser.java
20250413;Entities.java
20250414;HTMLParserTokenManager.java
20250415;HTMLParserConstants.java
20250416;DemoHTMLParser.java
20250417;ParserThread.java
20250418;SearchFiles.java
20250419;SmallFloat.java
20250420;TestSimpleExplanations.java
20250421;CheckHits.java
20250422;Scorer.java
20250423;ICUCollationKeyFilter.java
20250424;CollationKeyFilter.java
20250425;TestLocaleMethods.java
20250426;WindowsDirectory.java
20250427;PriorityQueue.java
20250428;TestIndexInput.java
20250429;Benchmark.java
20250430;Algorithm.java
20250431;TrecContentSourceTest.java
20250432;DependencyChecker.java
20250433;LicenseType.java
20250434;WriteLineDocTaskTest.java
20250435;LineDocSource.java
20250436;StreamUtils.java
20250437;ContentSource.java
20250438;EnwikiContentSource.java
20250439;TrecContentSource.java
20250440;ArrayUtil.java
20250441;CollectionUtil.java
20250442;WriteLineDocTask.java
20250443;TestComplexPhraseQuery.java
20250444;TestSimilarity.java
20250445;TestSpanRegexQuery.java
20250446;TestUnoptimizedReaderOnConstructor.java
20250447;TestFilterIndexReader.java
20250448;TestSegmentReader.java
20250449;TestParallelTermEnum.java
20250450;TestRollback.java
20250451;TestDemo.java
20250452;TestSegmentInfo.java
20250453;TestSpanQueryFilter.java
20250454;TestParallelReader.java
20250455;TestEmptyIndex.java
